Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Chile,CHL,..,..,..,0.3105,0.37499,0.35291,0.33099,0.35343,0.36479,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,China,CHN,..,0.89767,1.37974,1.38432,1.4573,1.67871,1.7272,1.79438,1.9281,2.01466,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Colombia,COL,..,0.10603,0.17265,0.19853,0.21177,0.20887,0.20971,0.21694,0.21574,0.22641,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Dem. Rep.",ZAR,..,..,0.0611,0.1392,0.08503,0.07987,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Costa Rica,CRI,..,0.38728,0.43047,0.36417,0.3984,0.54117,0.48261,0.47403,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Croatia,HRV,..,1.0441,0.74009,0.79225,0.88413,0.84425,0.74469,0.75237,0.75113,0.81421,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cuba,CUB,..,0.47865,0.44139,0.43615,0.50061,0.61487,0.60767,0.27192,0.40717,0.47466,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Cyprus,CYP,..,0.22818,0.38741,0.40431,0.39089,0.45046,0.45218,0.45612,0.42925,0.47519,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Czech Republic,CZE,..,1.11636,1.23372,1.3051,1.24203,1.29722,1.33986,1.56009,1.7877,1.90525,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Denmark,DNK,..,..,2.40236,2.51481,2.77951,3.06927,2.93698,2.96625,3.02286,3.05629,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ecuador,ECU,..,..,0.12863,0.13194,0.22779,0.39463,0.40297,0.33991,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Egypt, Arab Rep.",EGY,..,0.19247,0.25903,0.2551,0.27024,0.43312,0.43345,0.53154,0.54103,0.67798,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,El Salvador,SLV,..,..,..,0.08935,0.11245,0.07744,0.06723,0.03112,0.03051,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Estonia,EST,..,0.60011,1.11696,1.06919,1.26,1.39617,1.58242,2.34365,2.15854,1.73995,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ethiopia,ETH,..,..,..,0.17089,..,..,0.24137,..,..,0.60631,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Finland,FIN,..,3.24569,3.33762,3.34577,3.54708,3.74883,3.72598,3.63881,3.41948,3.30904,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,France,FRA,..,2.08399,2.04528,2.02003,2.05759,2.2091,2.17509,2.19064,2.23029,2.22811,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gabon,GAB,..,..,..,0.41633,0.5109,0.57508,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Gambia, The",GMB,..,..,..,..,0.02039,0.01748,..,0.13221,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Georgia,GEO,..,0.2153,..,..,..,..,..,..,..,0.13139,0.16168,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Germany,DEU,..,2.39503,2.45917,2.44937,2.6009,2.72789,2.71513,2.79725,2.87685,2.85341,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ghana,GHA,..,..,..,0.23157,..,..,0.37655,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,..,..,0.56126,0.57621,0.66154,0.62584,0.59791,0.66962,0.68876,0.80337,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guatemala,GTM,..,..,0.0493,0.06674,0.06188,0.0553,0.0435,0.04814,0.04471,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Honduras,HND,..,0.04453,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Hong Kong SAR, China",HKG,..,0.46493,0.79468,0.75161,0.71996,0.77342,0.74946,0.72086,0.72733,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Hungary,HUN,..,0.79277,0.99004,0.96551,0.98848,1.14292,1.15123,1.20042,1.2739,1.40755,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iceland,ISL,..,2.59437,2.91342,2.55724,2.53065,2.66409,..,2.49097,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,India,IND,..,0.74395,0.79722,0.7908,0.84108,0.81881,0.79718,0.82224,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Indonesia,IDN,..,0.06769,..,..,..,0.08332,..,..,..,0.08489,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Iran, Islamic Rep.",IRN,..,..,0.61405,..,0.7488,0.31296,0.3073,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Iraq,IRQ,..,..,..,0.04554,0.03435,0.04562,0.03684,0.03476,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ireland,IRL,..,1.09082,1.20642,1.2361,1.39434,1.6272,1.61858,1.53301,1.57645,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Israel,ISR,..,3.95997,4.19002,4.47954,4.38661,4.15274,3.95527,4.10215,4.24693,4.21329,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Italy,ITA,..,1.00506,1.08646,1.13217,1.16311,1.22066,1.22221,1.20881,1.2694,1.25528,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Japan,JPN,..,3.00169,3.4091,3.46142,3.46706,3.35734,3.25394,3.38313,3.34314,3.47409,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Jordan,JOR,..,..,..,..,0.4347,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kazakhstan,KAZ,..,0.18104,0.24281,0.20884,0.21654,0.22924,0.15341,0.15723,0.16889,0.17483,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kenya,KEN,..,..,..,0.35521,..,..,0.78578,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Korea, Rep.",KOR,..,2.18023,2.83066,3.00035,3.12343,3.29324,3.46594,3.74361,4.02554,4.14853,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kuwait,KWT,..,0.12543,0.08478,0.08585,0.0855,0.1122,0.1014,0.09899,0.09721,0.29869,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Kyrgyz Republic,KGZ,..,0.15637,0.23014,0.23425,0.19017,0.15997,0.15547,0.15633,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Latvia,LVA,..,0.35057,0.64542,0.55302,0.58015,0.45296,0.60816,0.70027,0.65434,0.59961,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lesotho,LSO,..,..,..,..,..,0.0296,..,0.01283,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Lithuania,LTU,..,0.590179979801178,0.79119,0.80092,0.78844,0.82967,0.78421,0.90471,0.89562,0.95099,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Luxembourg,LUX,..,1.57381,1.692,1.64547,1.64914,1.71852,1.50264,1.41092,1.15605,1.15514,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Macao SAR, China",MAC,..,..,0.08463,0.05806,0.1025,0.05477,0.04991,0.04453,0.04811,0.05139,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Macedonia, FYR",MKD,..,0.41888,0.19373,0.17093,0.22358,0.19679,0.21634,0.22276,0.32676,0.44099,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Madagascar,MDG,..,0.11976,0.16371,0.14037,0.13404,0.14683,0.11324,0.10588,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Malaysia,MYS,..,0.469,0.61106,..,0.78847,1.01001,1.0674,1.06422,1.12668,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mali,MLI,..,..,..,0.24915,..,..,0.66142,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Malta,MLT,..,..,0.61592,0.57891,0.55969,0.54476,0.68477,0.72075,0.90248,0.88614,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mauritius,MUS,..,0.28903,..,..,..,..,..,..,0.18125,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mexico,MEX,..,0.317,0.37247,0.36837,0.40383,0.43065,0.45409,0.42497,0.43457,0.49808,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Moldova,MDA,..,..,0.40622,0.54558,0.53463,0.52557,0.43987,0.40499,0.41733,0.35419,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mongolia,MNG,..,0.18757,0.19121,0.23827,0.33667,0.30478,0.24438,0.23054,0.23913,0.23314,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Montenegro,MNE,..,..,1.24172,1.14891,..,..,..,0.40864,..,0.37829,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Morocco,MAR,..,..,0.63568,..,..,..,0.7338,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Mozambique,MOZ,..,..,0.53299,..,0.15909,..,0.42398,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Myanmar,MMR,..,0.11306,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Namibia,NAM,..,..,..,..,..,..,0.14176,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Nepal,NPL,..,..,..,..,0.05439,0.25924,0.3022,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Netherlands,NLD,..,1.80298,1.77437,1.69895,1.65179,1.6851,1.72475,1.88839,1.96772,1.98223,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,New Zealand,NZL,..,..,..,1.16113,..,1.26157,..,1.24822,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Nigeria,NGA,..,..,..,0.21896,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Norway,NOR,..,..,1.45598,1.56478,1.5555,1.72386,1.65087,1.62754,1.62024,1.65542,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Oman,OMN,..,..,..,..,..,..,..,0.13645,0.20932,0.17087,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Pakistan,PAK,..,0.12828,..,0.6325,..,0.44806,..,0.32917,..,0.29151,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Panama,PAN,..,0.38398,0.24917,0.18322,0.19273,0.13817,0.14767,0.1804,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Paraguay,PRY,..,..,..,..,0.05472,..,..,0.05671,0.08816,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Peru,PER,..,0.11435,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Philippines,PHL,..,..,..,0.10963,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Poland,POL,..,0.64202,0.55321,0.56228,0.60331,0.666,0.72468,0.75224,0.88823,0.8675,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Portugal,PRT,..,0.72127,0.95455,1.12427,1.4452,1.57973,1.53257,1.45683,1.37777,1.37054,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Puerto Rico,PRI,..,..,..,..,..,0.45131,..,..,..,0.43568,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,0.47076,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Romania,ROM,..,0.36575,0.45432,0.52339,0.57911,0.47031,0.46086,0.50059,0.48898,0.39055,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Russian Federation,RUS,..,1.04984,1.07294,1.11611,1.04435,1.25192,1.1302,1.09069,1.12562,1.13279,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Saudi Arabia,SAU,..,..,0.04245,0.04521,0.04902,0.07338,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Senegal,SEN,..,..,..,..,0.36834,..,0.54086,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Serbia,SRB,..,0.89807,0.46678,0.35036,0.3731,0.86613,0.74427,0.72439,0.90691,0.72684,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Singapore,SGP,..,1.82155,2.13328,2.33699,2.62081,2.15925,2.01297,2.15055,1.99947,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovak Republic,SVK,..,0.63938,0.47662,0.44966,0.46432,0.47492,0.61956,0.66767,0.81073,0.83007,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Slovenia,SVN,..,1.3563,1.53291,1.42382,1.62564,1.81629,2.0595,2.42542,2.5782,2.58689,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
